neuron,soma_region,DG_MO_SEPTAL,DG_MO_TEMPORAL,DG_PO_SEPTAL,DG_PO_TEMPORAL,DG_SG_SEPTAL,DG_SG_TEMPORAL
202266_035.swc,700000005,2241.503879079933,0.0,245.45291792918707,0.0,352.5630348491489,0.0
202266_036.swc,700000001,2191.7076880237255,0.0,1804.9105431604582,0.0,1008.4584095240563,0.0
202266_039.swc,700000005,2489.3431848912037,0.0,1375.5482613573242,0.0,975.7429091677468,0.0
202266_040.swc,700000005,2214.157429771508,0.0,1749.2074349960085,0.0,638.4338910155719,0.0
202266_041.swc,700000005,2267.740278972635,0.0,1594.4787423959206,0.0,636.2382103874102,0.0
202266_042.swc,700000001,2802.5331810280277,0.0,1862.4545986347107,0.0,497.4517913956952,0.0
202266_043.swc,700000001,651.9473784707774,0.0,1809.430409893734,0.0,228.83621167870112,0.0
202266_044.swc,700000001,702.7846642707024,0.0,680.6438029816175,0.0,114.46031255253017,0.0
202266_045.swc,700000005,1620.937707192083,0.0,1219.3477346266532,0.0,156.2125919498252,0.0
202266_046.swc,700000005,1216.5210916419962,0.0,1785.5536567909298,0.0,174.17008609679615,0.0
202266_047.swc,700000005,837.9304103499665,0.0,1908.4130593101506,120.30319490881286,108.35476441886073,0.0
202266_049.swc,700000005,864.9977170338082,0.0,2890.627141491134,0.0,183.99573010033507,0.0
202266_051.swc,700000005,670.6041047203606,0.0,1084.3380396909336,281.6328780647361,110.48327106007649,0.0
202266_053.swc,700000004,0.0,1670.5834873200913,0.0,2279.564903401709,0.0,346.36758631687826
